Country Name,Indicator,Year,Value
Slovenia,Participation rate,2023,76.701
Spain,Participation rate,2023,74.586
Sweden,Participation rate,2023,83.988
Switzerland,Participation rate,2023,83.998
Tajikistan,Participation rate,2023,42.697
Turkiye,Participation rate,2023,59.364
Turkmenistan,Participation rate,2023,50.468
Ukraine,Participation rate,2023,
United Kingdom,Participation rate,2023,77.032
Uzbekistan,Participation rate,2023,60.873
Albania,GDP per capita,2021,6413.28328605026
Andorra,GDP per capita,2021,42425.6996756291
Armenia,GDP per capita,2021,4685.17997128509
Austria,GDP per capita,2021,53648.7190742245
Azerbaijan,GDP per capita,2021,5408.04535175023
Belarus,GDP per capita,2021,7489.71894713888
Belgium,GDP per capita,2021,51655.7883303715
Bosnia and Herzegovina,GDP per capita,2021,7295.3438240957
Bulgaria,GDP per capita,2021,12274.0775950496
Channel Islands,GDP per capita,2021,66912.1750054447
Croatia,GDP per capita,2021,17789.9304736722
Cyprus,GDP per capita,2021,33734.29296875
Czechia,GDP per capita,2021,27696.4619527544
Denmark,GDP per capita,2021,69727.9873677012
Estonia,GDP per capita,2021,27953.7670230126
Faroe Islands,GDP per capita,2021,68736.505610554
Finland,GDP per capita,2021,53099.1351400148
France,GDP per capita,2021,43725.0999521245
Georgia,GDP per capita,2021,5083.60695484577
Germany,GDP per capita,2021,52265.6541620571
Gibraltar,GDP per capita,2021,
Greece,GDP per capita,2021,20654.7001960815
Greenland,GDP per capita,2021,57116.295770722
Hungary,GDP per capita,2021,18755.1023464312
Iceland,GDP per capita,2021,69325.9078287926
Ireland,GDP per capita,2021,105561.137468992
Isle of Man,GDP per capita,2021,94299.969348965
Italy,GDP per capita,2021,36852.5425414951
Kazakhstan,GDP per capita,2021,9983.60103576902
Kosovo,GDP per capita,2021,5270.42670206205
Kyrgyz Republic,GDP per capita,2021,1349.99730650542
Latvia,GDP per capita,2021,20262.8433862451
Liechtenstein,GDP per capita,2021,196783.729414593
Lithuania,GDP per capita,2021,23934.728489916
Luxembourg,GDP per capita,2021,133711.794435985
Moldova,GDP per capita,2021,5274.60582195352
Monaco,GDP per capita,2021,223823.363960226
Montenegro,GDP per capita,2021,9465.96153027794
Netherlands,GDP per capita,2021,60141.9880911492
North Macedonia,GDP per capita,2021,7620.80296977508
Norway,GDP per capita,2021,93072.8925119571
Poland,GDP per capita,2021,18635.5104895754
Portugal,GDP per capita,2021,24711.4510062111
Romania,GDP per capita,2021,14986.7854904274
Russian Federation,GDP per capita,2021,12521.5224609375
San Marino,GDP per capita,2021,54168.9828262684
Serbia,GDP per capita,2021,9680.52798074468
Slovak Republic,GDP per capita,2021,22138.1949833348
Slovenia,GDP per capita,2021,29187.369382785
Spain,GDP per capita,2021,30817.6828559001
Sweden,GDP per capita,2021,61174.9680215622
Switzerland,GDP per capita,2021,93446.4344518943
Tajikistan,GDP per capita,2021,896.748053372182
Turkiye,GDP per capita,2021,9743.21277804855
Turkmenistan,GDP per capita,2021,7051.20211079213
Ukraine,GDP per capita,2021,4775.94580078125
United Kingdom,GDP per capita,2021,46896.8662432834
Uzbekistan,GDP per capita,2021,2258.51964119278
Albania,GDP per capita,2022,6846.42614266044
Andorra,GDP per capita,2022,42414.0590092117
Armenia,GDP per capita,2022,6571.97445545099
Austria,GDP per capita,2022,52176.6649141178
Azerbaijan,GDP per capita,2022,7770.594223351
Belarus,GDP per capita,2022,7994.64806074889
Belgium,GDP per capita,2022,50807.2047084918
Bosnia and Herzegovina,GDP per capita,2022,7655.59421024383
Bulgaria,GDP per capita,2022,13644.201582807
Channel Islands,GDP per capita,2022,67627.3082341446
Croatia,GDP per capita,2022,18466.0955472648
Cyprus,GDP per capita,2022,33938.9453125
Czechia,GDP per capita,2022,28282.2236715857
Denmark,GDP per capita,2022,68091.3191138669
Estonia,GDP per capita,2022,28451.1477825175
Faroe Islands,GDP per capita,2022,66108.733645837
Finland,GDP per capita,2022,50438.4753952355
France,GDP per capita,2022,41082.8119320747
Georgia,GDP per capita,2022,6729.84659930283
Germany,GDP per capita,2022,49686.1154582583
Gibraltar,GDP per capita,2022,
Greece,GDP per capita,2022,20971.8349258283
Greenland,GDP per capita,2022,
Hungary,GDP per capita,2022,18353.298364905
Iceland,GDP per capita,2022,75314.085560994
Ireland,GDP per capita,2022,106194.755859223
Isle of Man,GDP per capita,2022,
Italy,GDP per capita,2022,35635.7442204098
Kazakhstan,GDP per capita,2022,11255.3396437881
Kosovo,GDP per capita,2022,5290.94747224687
Kyrgyz Republic,GDP per capita,2022,1739.72030814894
Latvia,GDP per capita,2022,20229.4613617326
Liechtenstein,GDP per capita,2022,186400.23376784
Lithuania,GDP per capita,2022,25085.784063499
Luxembourg,GDP per capita,2022,125006.021815486
Moldova,GDP per capita,2022,5738.42473515618
Monaco,GDP per capita,2022,226052.001905201
Montenegro,GDP per capita,2022,10093.4387007266
Netherlands,GDP per capita,2022,59123.318556487
North Macedonia,GDP per capita,2022,7606.2375253797
Norway,GDP per capita,2022,108798.451165901
Poland,GDP per capita,2022,18891.2121169279
Portugal,GDP per capita,2022,24620.519556875
Romania,GDP per capita,2022,15557.8826247584
Russian Federation,GDP per capita,2022,15445.2421875
San Marino,GDP per capita,2022,54264.570495898
Serbia,GDP per capita,2022,10022.9688543402
Slovak Republic,GDP per capita,2022,21342.7666714692
Slovenia,GDP per capita,2022,28373.8382265999
Spain,GDP per capita,2022,30287.3657583614
Sweden,GDP per capita,2022,55296.9371472535
Switzerland,GDP per capita,2022,93245.7952120851
Tajikistan,GDP per capita,2022,1052.17949484894
Turkiye,GDP per capita,2022,10674.504157865
Turkmenistan,GDP per capita,2022,8156.35211950774
Ukraine,GDP per capita,2022,4199.6708984375
United Kingdom,GDP per capita,2022,45935.9276473925
Uzbekistan,GDP per capita,2022,2578.66689394219
Albania,GDP per capita,2023,8575.17113446213
Andorra,GDP per capita,2023,46812.4484486309
Armenia,GDP per capita,2023,8053.01066312345
Austria,GDP per capita,2023,56033.573792065
Azerbaijan,GDP per capita,2023,7125.90858368611
Belarus,GDP per capita,2023,7829.05313660622
Belgium,GDP per capita,2023,54700.9093236712
Bosnia and Herzegovina,GDP per capita,2023,8638.66620201187
Bulgaria,GDP per capita,2023,15885.5391311331
Channel Islands,GDP per capita,2023,74589.1380225191
Croatia,GDP per capita,2023,21865.4562838641
Cyprus,GDP per capita,2023,36551.41796875
Czechia,GDP per capita,2023,31591.1770732969
Denmark,GDP per capita,2023,68453.8769281145
Estonia,GDP per capita,2023,30133.304450454
Faroe Islands,GDP per capita,2023,71717.7042204698
Finland,GDP per capita,2023,52925.6897638424
France,GDP per capita,2023,44690.9345395117
Georgia,GDP per capita,2023,8283.66960242964
Germany,GDP per capita,2023,54343.2265084958
Gibraltar,GDP per capita,2023,
Greece,GDP per capita,2023,23400.7278817691
Greenland,GDP per capita,2023,
Hungary,GDP per capita,2023,22141.8669799276
Iceland,GDP per capita,2023,79636.9548578508
Ireland,GDP per capita,2023,103887.800388081
Isle of Man,GDP per capita,2023,
Italy,GDP per capita,2023,39003.3160954123
Kazakhstan,GDP per capita,2023,12918.8661346014
Kosovo,GDP per capita,2023,5960.15820477447
Kyrgyz Republic,GDP per capita,2023,1970.15780961839
Latvia,GDP per capita,2023,22502.8429938094
Liechtenstein,GDP per capita,2023,
Lithuania,GDP per capita,2023,27786.0057829276
Luxembourg,GDP per capita,2023,128678.189942826
Moldova,GDP per capita,2023,6729.41286813969
Monaco,GDP per capita,2023,256580.515122745
Montenegro,GDP per capita,2023,12221.4775546967
Netherlands,GDP per capita,2023,64572.0059558854
North Macedonia,GDP per capita,2023,8624.29360948531
Norway,GDP per capita,2023,87925.0944188399
Poland,GDP per capita,2023,22056.6661704127
Portugal,GDP per capita,2023,27331.2094945255
Romania,GDP per capita,2023,18404.2730871704
Russian Federation,GDP per capita,2023,13817.0458984375
San Marino,GDP per capita,2023,
Serbia,GDP per capita,2023,12281.5058488303
Slovak Republic,GDP per capita,2023,24491.3771867262
Slovenia,GDP per capita,2023,32610.110922729
Spain,GDP per capita,2023,33509.0127982139
Sweden,GDP per capita,2023,55516.836477474
Switzerland,GDP per capita,2023,99564.710026145
Tajikistan,GDP per capita,2023,1160.81187026311
Turkiye,GDP per capita,2023,13105.6585678319
Turkmenistan,GDP per capita,2023,8232.65225980002
Ukraine,GDP per capita,2023,5069.703125
United Kingdom,GDP per capita,2023,49463.8554617343
Uzbekistan,GDP per capita,2023,2849.51461071911
Albania,Unemployment rate,2021,11.474
Andorra,Unemployment rate,2021,
Armenia,Unemployment rate,2021,15.469
Austria,Unemployment rate,2021,6.459
Azerbaijan,Unemployment rate,2021,6.04
Belarus,Unemployment rate,2021,3.9
Belgium,Unemployment rate,2021,6.248
Bosnia and Herzegovina,Unemployment rate,2021,14.897
Bulgaria,Unemployment rate,2021,5.267
Channel Islands,Unemployment rate,2021,6.875
Croatia,Unemployment rate,2021,7.608
Cyprus,Unemployment rate,2021,7.513
Czechia,Unemployment rate,2021,2.803
Denmark,Unemployment rate,2021,5.043
Estonia,Unemployment rate,2021,6.178
Faroe Islands,Unemployment rate,2021,
Finland,Unemployment rate,2021,7.617
France,Unemployment rate,2021,7.874
Georgia,Unemployment rate,2021,11.791
Germany,Unemployment rate,2021,3.594
Gibraltar,Unemployment rate,2021,
Greece,Unemployment rate,2021,14.656
Greenland,Unemployment rate,2021,
Hungary,Unemployment rate,2021,4.045
Iceland,Unemployment rate,2021,6.029
Ireland,Unemployment rate,2021,6.364
Isle of Man,Unemployment rate,2021,
Italy,Unemployment rate,2021,9.497
Kazakhstan,Unemployment rate,2021,5.546
Kosovo,Unemployment rate,2021,
Kyrgyz Republic,Unemployment rate,2021,4.096
Latvia,Unemployment rate,2021,7.513
Liechtenstein,Unemployment rate,2021,
Lithuania,Unemployment rate,2021,7.112
Luxembourg,Unemployment rate,2021,5.571
Moldova,Unemployment rate,2021,0.785
Monaco,Unemployment rate,2021,
Montenegro,Unemployment rate,2021,16.543
Netherlands,Unemployment rate,2021,4.209
North Macedonia,Unemployment rate,2021,15.801
Norway,Unemployment rate,2021,4.359
Poland,Unemployment rate,2021,3.268
Portugal,Unemployment rate,2021,6.577
Romania,Unemployment rate,2021,5.59
Russian Federation,Unemployment rate,2021,4.749
San Marino,Unemployment rate,2021,
Serbia,Unemployment rate,2021,9.843
Slovak Republic,Unemployment rate,2021,6.894
Slovenia,Unemployment rate,2021,4.744
Spain,Unemployment rate,2021,14.781
Sweden,Unemployment rate,2021,8.722
Switzerland,Unemployment rate,2021,5.013
Tajikistan,Unemployment rate,2021,12.333
Turkiye,Unemployment rate,2021,11.969
Turkmenistan,Unemployment rate,2021,4.459
Ukraine,Unemployment rate,2021,9.834
United Kingdom,Unemployment rate,2021,4.826
Uzbekistan,Unemployment rate,2021,5.364
Albania,Unemployment rate,2022,10.137
Andorra,Unemployment rate,2022,
Armenia,Unemployment rate,2022,13.379
Austria,Unemployment rate,2022,4.992
Azerbaijan,Unemployment rate,2022,5.65
Belarus,Unemployment rate,2022,3.574
Belgium,Unemployment rate,2022,5.57
Bosnia and Herzegovina,Unemployment rate,2022,12.657
Bulgaria,Unemployment rate,2022,4.268
Channel Islands,Unemployment rate,2022,6.147
Croatia,Unemployment rate,2022,6.96
Cyprus,Unemployment rate,2022,6.806
Czechia,Unemployment rate,2022,2.224
Denmark,Unemployment rate,2022,4.434
Estonia,Unemployment rate,2022,5.571
Faroe Islands,Unemployment rate,2022,
Finland,Unemployment rate,2022,6.719
France,Unemployment rate,2022,7.308
Georgia,Unemployment rate,2022,11.647
Germany,Unemployment rate,2022,3.12
Gibraltar,Unemployment rate,2022,
Greece,Unemployment rate,2022,12.426
Greenland,Unemployment rate,2022,
Hungary,Unemployment rate,2022,3.609
Iceland,Unemployment rate,2022,3.789
Ireland,Unemployment rate,2022,4.501
Isle of Man,Unemployment rate,2022,
Italy,Unemployment rate,2022,8.069
Kazakhstan,Unemployment rate,2022,4.86
Kosovo,Unemployment rate,2022,
Kyrgyz Republic,Unemployment rate,2022,4.043
Latvia,Unemployment rate,2022,6.815
Liechtenstein,Unemployment rate,2022,
Lithuania,Unemployment rate,2022,5.955
Luxembourg,Unemployment rate,2022,4.588
Moldova,Unemployment rate,2022,0.897
Monaco,Unemployment rate,2022,
Montenegro,Unemployment rate,2022,14.851
Netherlands,Unemployment rate,2022,3.526
North Macedonia,Unemployment rate,2022,14.476
Norway,Unemployment rate,2022,3.231
Poland,Unemployment rate,2022,2.811
Portugal,Unemployment rate,2022,6.011
Romania,Unemployment rate,2022,5.614
Russian Federation,Unemployment rate,2022,3.867
San Marino,Unemployment rate,2022,
Serbia,Unemployment rate,2022,8.439
Slovak Republic,Unemployment rate,2022,6.143
Slovenia,Unemployment rate,2022,4.011
Spain,Unemployment rate,2022,12.917
Sweden,Unemployment rate,2022,7.392
Switzerland,Unemployment rate,2022,4.122
Tajikistan,Unemployment rate,2022,11.634
Turkiye,Unemployment rate,2022,10.465
Turkmenistan,Unemployment rate,2022,4.109
Ukraine,Unemployment rate,2022,
United Kingdom,Unemployment rate,2022,3.73
Uzbekistan,Unemployment rate,2022,4.49
Albania,Unemployment rate,2023,10.108
Andorra,Unemployment rate,2023,
Armenia,Unemployment rate,2023,13.245
Austria,Unemployment rate,2023,5.264
Azerbaijan,Unemployment rate,2023,5.636
Belarus,Unemployment rate,2023,3.461
Belgium,Unemployment rate,2023,5.528
Bosnia and Herzegovina,Unemployment rate,2023,10.668
Bulgaria,Unemployment rate,2023,4.319
Channel Islands,Unemployment rate,2023,6.187
Croatia,Unemployment rate,2023,6.086
Cyprus,Unemployment rate,2023,6.098
Czechia,Unemployment rate,2023,2.579
Denmark,Unemployment rate,2023,5.094
Estonia,Unemployment rate,2023,6.378
Faroe Islands,Unemployment rate,2023,
Finland,Unemployment rate,2023,7.151
France,Unemployment rate,2023,7.335
Georgia,Unemployment rate,2023,11.537
Germany,Unemployment rate,2023,3.068
Gibraltar,Unemployment rate,2023,
Greece,Unemployment rate,2023,11.066
Greenland,Unemployment rate,2023,
Hungary,Unemployment rate,2023,4.107
Iceland,Unemployment rate,2023,3.518
Ireland,Unemployment rate,2023,4.288
Isle of Man,Unemployment rate,2023,
Italy,Unemployment rate,2023,7.627
Kazakhstan,Unemployment rate,2023,4.821
Kosovo,Unemployment rate,2023,
Kyrgyz Republic,Unemployment rate,2023,3.991
Latvia,Unemployment rate,2023,6.465
Liechtenstein,Unemployment rate,2023,
Lithuania,Unemployment rate,2023,6.841
Luxembourg,Unemployment rate,2023,5.184
Moldova,Unemployment rate,2023,1.555
Monaco,Unemployment rate,2023,
Montenegro,Unemployment rate,2023,14.621
Netherlands,Unemployment rate,2023,3.537
North Macedonia,Unemployment rate,2023,13.174
Norway,Unemployment rate,2023,3.572
Poland,Unemployment rate,2023,2.743
Portugal,Unemployment rate,2023,6.509
Romania,Unemployment rate,2023,5.589
Russian Federation,Unemployment rate,2023,3.076
San Marino,Unemployment rate,2023,
Serbia,Unemployment rate,2023,8.268
Slovak Republic,Unemployment rate,2023,5.84
Slovenia,Unemployment rate,2023,3.652
Spain,Unemployment rate,2023,12.179
Sweden,Unemployment rate,2023,7.611
Switzerland,Unemployment rate,2023,4.043
Tajikistan,Unemployment rate,2023,11.546
Turkiye,Unemployment rate,2023,9.388
Turkmenistan,Unemployment rate,2023,4.099
Ukraine,Unemployment rate,2023,
United Kingdom,Unemployment rate,2023,3.984
Uzbekistan,Unemployment rate,2023,4.46
